USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0 172404  9204 ?        Ss   ago24   0:21 /sbin/init splash
root         816  0.0  0.0      0     0 ?        S    ago24   3:41 [irq/177-iwlwifi]
root         817  0.0  0.0      0     0 ?        S    ago24   1:10 [irq/178-iwlwifi]
root         818  0.0  0.0      0     0 ?        S    ago24   0:39 [irq/179-iwlwifi]
root         819  0.0  0.0      0     0 ?        S    ago24   0:48 [irq/180-iwlwifi]
root         820  0.0  0.0      0     0 ?        S    ago24   1:56 [irq/181-iwlwifi]
root         821  0.0  0.0      0     0 ?        S    ago24   0:59 [irq/182-iwlwifi]
root         822  0.0  0.0      0     0 ?        S    ago24   0:30 [irq/183-iwlwifi]
root         823  0.0  0.0      0     0 ?        S    ago24   1:11 [irq/184-iwlwifi]
root         825  0.0  0.0      0     0 ?        S    ago24   0:57 [irq/185-iwlwifi]
root         826  0.0  0.0      0     0 ?        S    ago24   0:00 [irq/186-iwlwifi]
root         863  0.0  0.0      0     0 ?        S    ago24   0:00 [nv_queue]
root         864  0.0  0.0      0     0 ?        S    ago24   0:00 [nv_queue]
root         904  0.0  0.0      0     0 ?        S    ago24   0:04 [irq/187-AudioDS]
root         911  0.0  0.0      0     0 ?        I<   ago24   0:00 [USBC000:00-con0]
root         996  0.0  0.0      0     0 ?        S    ago24   0:00 [nvidia-modeset/]
root         997  0.0  0.0      0     0 ?        S    ago24   0:00 [nvidia-modeset/]
root        1025  0.0  0.0      0     0 ?        S    ago24   0:00 [UVM global queu]
root        1026  0.0  0.0      0     0 ?        S    ago24   0:00 [UVM deferred re]
root        1027  0.0  0.0      0     0 ?        S    ago24   0:00 [UVM Tools Event]
root        1095  0.0  0.0      0     0 ?        S    ago24   0:00 [jbd2/nvme0n1p2-]
root        1096  0.0  0.0      0     0 ?        I<   ago24   0:00 [ext4-rsv-conver]
systemd+    1125  0.0  0.0  28016  9696 ?        Ss   ago24   1:33 /lib/systemd/systemd-resolved
systemd+    1126  0.0  0.0  90916  1608 ?        Ssl  ago24   0:00 /lib/systemd/systemd-timesyncd
root        1184  0.0  0.0 239144  1764 ?        Ssl  ago24   0:09 /usr/lib/accountsservice/accounts-daemon
root        1185  0.0  0.0   2548    68 ?        Ss   ago24   1:38 /usr/sbin/acpid
avahi       1188  0.0  0.0   8680   684 ?        Ss   ago24   0:10 avahi-daemon: running [joao-2.local]
root        1189  0.0  0.0   9532  1636 ?        Ss   ago24   0:30 /usr/lib/bluetooth/bluetoothd
root        1190  0.0  0.0   9432   784 ?        Ss   ago24   0:00 /usr/sbin/cron -f
message+    1193  0.0  0.0  10228  4964 ?        Ss   ago24   2:45 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root        1194  0.0  0.0 747676  8464 ?        Ssl  ago24   8:04 /usr/sbin/NetworkManager --no-daemon
root        1199  0.0  0.0 453880  6500 ?        Ssl  ago24   6:31 /opt/forticlient/fctsched
root        1203  0.0  0.0  81980   880 ?        Ssl  ago24   0:46 /usr/sbin/irqbalance --foreground
root        1206  0.0  0.0  39696  8364 ?        Ss   ago24   0:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root        1209  0.0  0.0 242144  6596 ?        Ssl  ago24   0:03 /usr/lib/policykit-1/polkitd --no-debug
root        1211  0.0  0.0 1686332 11872 ?       Ssl  ago24   6:10 /usr/bin/pritunl-client-service
syslog      1212  0.0  0.0 224352  1920 ?        Ssl  ago24   0:08 /usr/sbin/rsyslogd -n -iNONE
root        1218  0.0  0.0 235988  1392 ?        Ssl  ago24   0:00 /usr/libexec/switcheroo-control
root        1223  0.0  0.0  17556  2244 ?        Ss   ago24   0:02 /lib/systemd/systemd-logind
root        1226  0.2  0.0 273928  2128 ?        Ssl  ago24  26:27 /usr/sbin/thermald --systemd --dbus-enable --adaptive
root        1228  0.0  0.0 394432  6004 ?        Ssl  ago24   0:00 /usr/lib/udisks2/udisksd
